epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.6561	0.5316	4896	0.80 hr	282.89s	33.46s	316.37s
19	0.6857	0.4686	10336	1.60 hr	281.44s	33.42s	314.88s
29	0.6819	0.4405	15776	2.39 hr	285.15s	33.79s	318.96s
39	0.7046	0.4197	21216	3.20 hr	282.91s	35.34s	318.27s
49	0.7042	0.4062	26656	3.99 hr	281.41s	33.26s	314.69s
59	0.7090	0.3855	32096	4.78 hr	280.17s	34.22s	314.41s
69	0.7093	0.3690	37536	5.58 hr	284.46s	33.94s	318.42s
79	0.7058	0.3606	42976	6.38 hr	284.42s	37.00s	321.44s
89	0.7170	0.3469	48416	7.19 hr	286.77s	34.13s	320.92s
98	0.6864	0.3343	53312	7.91 hr	288.05s	35.61s	323.68s
107	0.7145	0.3189	58208	8.64 hr	279.54s	34.39s	313.96s
116	0.7171	0.3111	63104	9.36 hr	281.94s	34.01s	315.98s
125	0.7163	0.3072	68000	10.08 hr	294.98s	38.34s	333.35s
134	0.7184	0.2982	72896	10.81 hr	289.76s	33.08s	322.87s
143	0.7248	0.2863	77792	11.53 hr	282.29s	35.32s	317.63s
152	0.7246	0.2743	82688	12.24 hr	279.35s	36.15s	315.52s
160	0.7269	0.2672	87040	12.88 hr	278.10s	34.71s	312.83s
168	0.7196	0.2624	91392	13.51 hr	290.42s	35.91s	326.35s
176	0.7284	0.2595	95744	14.15 hr	282.48s	33.54s	316.04s
184	0.7245	0.2493	100096	14.79 hr	279.51s	33.62s	313.15s
192	0.7280	0.2470	104448	15.42 hr	281.23s	35.03s	316.29s
200	0.7282	0.2370	108800	16.06 hr	279.91s	33.29s	313.22s
207	0.7265	0.2399	112608	16.62 hr	279.48s	34.94s	314.45s
214	0.7313	0.2338	116416	17.18 hr	277.00s	34.66s	311.68s
221	0.7261	0.2285	120224	17.74 hr	289.74s	34.54s	324.31s
228	0.7322	0.2197	124032	18.29 hr	279.53s	34.23s	313.78s
234	0.7312	0.2211	127296	18.77 hr	283.93s	37.50s	321.46s
240	0.7306	0.2214	130560	19.25 hr	278.25s	35.82s	314.10s
246	0.7285	0.2129	133824	19.72 hr	277.54s	34.23s	311.80s
252	0.7310	0.2119	137088	20.20 hr	280.36s	34.44s	314.83s
257	0.7314	0.2131	139808	20.60 hr	278.88s	31.34s	310.24s
262	0.7315	0.2169	142528	20.99 hr	278.12s	38.05s	316.20s
267	0.7302	0.2119	145248	21.39 hr	277.93s	35.25s	313.20s
271	0.7322	0.2162	147424	21.72 hr	287.11s	33.50s	320.63s
275	0.7323	0.2127	149600	22.05 hr	281.12s	35.07s	316.23s
279	0.7322	0.2100	151776	22.37 hr	279.35s	35.70s	315.09s
282	0.7320	0.2093	153408	22.61 hr	279.84s	33.75s	313.61s
285	0.7325	0.2136	155040	22.86 hr	279.11s	32.91s	312.05s
288	0.7321	0.2145	156672	23.10 hr	288.97s	34.96s	323.96s
290	0.7322	0.2159	157760	23.27 hr	279.01s	26.54s	305.57s
292	0.7323	0.2112	158848	23.43 hr	280.57s	25.26s	305.85s
294	0.7323	0.2096	159936	23.59 hr	280.84s	24.97s	305.84s
296	0.7323	0.2072	161024	23.75 hr	280.44s	25.36s	305.81s
297	0.7323	0.2095	161568	23.84 hr	280.95s	25.64s	306.62s
