epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.5934	0.5163	4896	0.72 hr	259.30s	36.86s	296.43s
19	0.6470	0.4601	10336	1.45 hr	258.28s	33.31s	291.61s
29	0.6712	0.4369	15776	2.19 hr	256.99s	36.09s	293.10s
39	0.6787	0.4237	21216	2.92 hr	268.55s	35.29s	303.86s
49	0.6725	0.4021	26656	3.65 hr	259.69s	31.24s	290.96s
59	0.6866	0.4009	32096	4.09 hr	145.00s	33.91s	178.93s
69	0.6858	0.3664	37536	5.06 hr	405.35s	42.07s	447.48s
79	0.6697	0.3662	42976	6.08 hr	247.33s	39.42s	286.78s
89	0.6853	0.3446	48416	6.86 hr	273.04s	39.49s	312.55s
98	0.6950	0.3411	53312	7.57 hr	280.17s	45.54s	325.77s
107	0.6919	0.3320	58208	8.29 hr	296.99s	43.43s	340.47s
116	0.6919	0.3142	63104	9.07 hr	252.66s	37.38s	290.06s
125	0.7023	0.3023	68000	9.79 hr	294.73s	40.21s	334.98s
134	0.7005	0.2956	72896	10.50 hr	292.21s	41.06s	333.31s
143	0.7023	0.2866	77792	11.24 hr	296.36s	35.62s	332.04s
152	0.7090	0.2777	82688	11.98 hr	290.08s	35.79s	325.92s
160	0.7004	0.2847	87040	12.64 hr	292.89s	42.06s	335.03s
168	0.7012	0.2623	91392	13.31 hr	294.77s	38.89s	333.70s
176	0.7036	0.2496	95744	13.97 hr	286.84s	35.55s	322.47s
184	0.7119	0.2474	100096	14.64 hr	292.67s	37.98s	330.70s
192	0.7118	0.2459	104448	15.30 hr	292.24s	36.32s	328.59s
200	0.7086	0.2406	108800	15.97 hr	284.99s	40.43s	325.48s
207	0.7102	0.2359	112608	16.55 hr	293.12s	40.22s	333.40s
214	0.7107	0.2334	116416	17.14 hr	304.47s	35.95s	340.45s
221	0.7036	0.2259	120224	17.73 hr	292.31s	69.95s	362.33s
228	0.7142	0.2271	124032	18.30 hr	294.16s	34.27s	328.54s
234	0.7153	0.2214	127296	18.80 hr	293.01s	40.48s	333.53s
240	0.7137	0.2180	130560	19.30 hr	289.92s	40.17s	330.12s
246	0.7133	0.2205	133824	19.80 hr	291.52s	37.40s	328.99s
252	0.7161	0.2165	137088	20.30 hr	292.32s	41.19s	333.56s
257	0.7126	0.2167	139808	20.72 hr	291.61s	39.69s	331.34s
262	0.7141	0.2142	142528	21.13 hr	291.24s	40.38s	331.66s
267	0.7154	0.2160	145248	21.55 hr	289.62s	48.00s	337.68s
271	0.7142	0.2154	147424	21.89 hr	291.87s	39.87s	331.77s
275	0.7145	0.2162	149600	22.22 hr	292.90s	40.24s	333.19s
279	0.7153	0.2130	151776	22.56 hr	292.24s	41.32s	333.60s
282	0.7138	0.2110	153408	22.81 hr	291.58s	39.53s	331.16s
285	0.7158	0.2136	155040	23.07 hr	291.90s	41.23s	333.17s
288	0.7153	0.2126	156672	23.32 hr	295.42s	39.54s	335.02s
290	0.7152	0.2119	157760	23.51 hr	291.90s	74.75s	366.70s
292	0.7148	0.2117	158848	23.69 hr	293.15s	63.61s	356.81s
294	0.7151	0.2083	159936	23.86 hr	293.14s	49.67s	342.86s
296	0.7150	0.2156	161024	24.03 hr	292.77s	33.65s	326.46s
297	0.7150	0.2093	161568	24.13 hr	295.61s	40.41s	336.07s
298	0.7150	0.2081	162112	24.23 hr	294.64s	53.61s	348.29s
299	0.7150	0.2144	162656	24.32 hr	292.85s	55.51s	348.40s
