epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.6340	0.5076	4896	0.81 hr	286.93s	38.21s	325.20s
19	0.6346	0.4953	10336	1.51 hr	178.11s	40.35s	218.48s
29	0.6758	0.4360	15776	2.29 hr	272.62s	42.19s	314.88s
39	0.6796	0.4331	21216	2.74 hr	158.64s	35.07s	193.73s
49	0.6860	0.3977	26656	3.14 hr	141.53s	24.10s	165.65s
59	0.6563	0.3944	32096	3.64 hr	174.07s	34.15s	208.25s
69	0.6785	0.3793	37536	4.40 hr	280.49s	34.04s	314.55s
79	0.6957	0.3526	42976	5.19 hr	283.62s	33.28s	316.92s
89	0.6973	0.3383	48416	5.98 hr	277.35s	32.97s	310.33s
98	0.6963	0.3309	53312	6.69 hr	278.94s	33.52s	312.48s
107	0.7006	0.3297	58208	7.40 hr	282.76s	33.07s	315.87s
116	0.6973	0.3086	63104	8.12 hr	277.35s	36.17s	313.58s
125	0.7030	0.2929	68000	8.82 hr	279.08s	34.40s	313.49s
134	0.6972	0.2926	72896	9.54 hr	278.76s	34.15s	312.93s
143	0.6979	0.2766	77792	10.25 hr	278.09s	36.08s	314.19s
152	0.6990	0.2670	82688	10.96 hr	279.13s	35.46s	314.62s
160	0.7000	0.2745	87040	11.59 hr	288.24s	36.76s	325.03s
168	0.7175	0.2610	91392	12.23 hr	277.43s	35.38s	312.83s
176	0.7057	0.2469	95744	12.86 hr	277.54s	36.07s	313.64s
184	0.7014	0.2477	100096	13.49 hr	277.30s	34.93s	312.27s
192	0.7087	0.2408	104448	14.12 hr	284.77s	35.20s	319.99s
200	0.7098	0.2414	108800	14.76 hr	279.21s	33.61s	312.85s
207	0.7154	0.2339	112608	15.32 hr	282.42s	36.60s	319.05s
214	0.7110	0.2319	116416	15.87 hr	279.11s	34.38s	313.52s
221	0.7033	0.2210	120224	16.43 hr	279.40s	35.86s	315.29s
228	0.7140	0.2165	124032	16.98 hr	277.38s	33.13s	310.53s
234	0.7156	0.2164	127296	17.46 hr	282.86s	33.23s	316.11s
240	0.7112	0.2133	130560	17.94 hr	279.41s	35.37s	314.83s
246	0.7108	0.2095	133824	18.42 hr	284.78s	36.44s	321.26s
252	0.7126	0.2048	137088	18.90 hr	280.09s	34.05s	314.17s
257	0.7114	0.2083	139808	19.30 hr	276.88s	35.32s	312.22s
262	0.7090	0.2056	142528	19.70 hr	276.79s	35.80s	312.62s
267	0.7088	0.2082	145248	20.10 hr	279.24s	35.39s	314.66s
271	0.7092	0.2112	147424	20.42 hr	282.32s	36.03s	318.39s
275	0.7098	0.2059	149600	20.74 hr	277.73s	36.82s	314.59s
279	0.7097	0.2055	151776	21.06 hr	280.57s	30.56s	311.17s
282	0.7105	0.2039	153408	21.31 hr	278.97s	33.31s	312.31s
285	0.7099	0.2049	155040	21.55 hr	279.71s	33.83s	313.58s
288	0.7105	0.2060	156672	21.79 hr	276.41s	33.08s	309.52s
290	0.7100	0.2062	157760	21.96 hr	283.17s	33.18s	316.38s
292	0.7097	0.2029	158848	22.12 hr	277.82s	31.76s	309.61s
294	0.7099	0.2062	159936	22.29 hr	279.14s	33.50s	312.69s
296	0.7099	0.2058	161024	22.45 hr	278.60s	27.66s	306.30s
297	0.7099	0.2047	161568	22.54 hr	277.44s	34.62s	312.10s
298	0.7099	0.2068	162112	22.62 hr	278.97s	25.39s	304.39s
299	0.7099	0.2082	162656	22.71 hr	283.35s	26.04s	309.43s
