epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.6220	0.5226	4896	0.86 hr	302.87s	41.27s	344.17s
19	0.6678	0.4628	10336	1.70 hr	215.37s	32.23s	247.61s
29	0.6579	0.4485	15776	2.11 hr	143.04s	34.40s	177.46s
39	0.6891	0.4289	21216	2.53 hr	162.20s	40.43s	202.66s
49	0.6904	0.4002	26656	2.94 hr	143.96s	31.06s	175.04s
59	0.6965	0.3850	32096	3.37 hr	145.59s	33.62s	179.23s
69	0.7046	0.3615	37536	4.10 hr	250.64s	33.94s	284.60s
79	0.6694	0.3523	42976	4.81 hr	265.11s	37.97s	303.10s
89	0.6912	0.3410	48416	5.43 hr	146.86s	33.97s	180.86s
98	0.7032	0.3249	53312	6.04 hr	246.09s	38.41s	284.56s
107	0.6635	0.3169	58208	6.65 hr	239.70s	34.89s	274.62s
116	0.6934	0.3034	63104	7.26 hr	236.47s	33.31s	269.80s
125	0.7061	0.2943	68000	7.89 hr	253.61s	41.92s	295.54s
134	0.7085	0.2794	72896	8.54 hr	255.99s	33.04s	289.07s
143	0.7075	0.2806	77792	9.18 hr	250.31s	33.36s	283.68s
152	0.7096	0.2811	82688	9.80 hr	252.73s	33.87s	286.63s
160	0.7140	0.2612	87040	10.37 hr	253.20s	33.39s	286.61s
168	0.7088	0.2555	91392	10.94 hr	252.69s	32.81s	285.52s
176	0.7171	0.2520	95744	11.51 hr	258.14s	34.95s	293.13s
184	0.7171	0.2449	100096	12.09 hr	250.97s	37.22s	288.21s
192	0.7192	0.2353	104448	12.64 hr	248.71s	34.09s	282.82s
200	0.7146	0.2357	108800	13.21 hr	250.81s	32.66s	283.50s
207	0.7193	0.2294	112608	13.70 hr	252.87s	36.84s	289.74s
214	0.7162	0.2252	116416	14.21 hr	254.39s	32.95s	287.37s
221	0.7112	0.2274	120224	14.71 hr	253.33s	33.25s	286.60s
228	0.7146	0.2159	124032	15.19 hr	240.41s	33.02s	273.45s
234	0.7135	0.2162	127296	15.60 hr	241.30s	34.15s	275.48s
240	0.7146	0.2097	130560	16.02 hr	254.41s	35.59s	290.02s
246	0.7185	0.2142	133824	16.45 hr	257.14s	33.71s	290.87s
252	0.7208	0.2080	137088	16.87 hr	242.50s	31.79s	274.32s
257	0.7192	0.2144	139808	17.23 hr	253.20s	38.23s	291.46s
262	0.7206	0.2092	142528	17.59 hr	255.23s	36.23s	291.48s
267	0.7209	0.2115	145248	17.96 hr	255.50s	51.71s	307.25s
271	0.7193	0.2017	147424	18.24 hr	241.95s	32.08s	274.06s
275	0.7192	0.2106	149600	18.53 hr	254.74s	33.57s	288.33s
279	0.7196	0.2054	151776	18.83 hr	250.37s	40.97s	291.37s
282	0.7202	0.2051	153408	19.04 hr	254.52s	32.12s	286.67s
285	0.7190	0.2072	155040	19.26 hr	237.95s	38.76s	276.73s
288	0.7197	0.2039	156672	19.47 hr	236.24s	33.91s	270.18s
290	0.7198	0.2054	157760	19.62 hr	249.35s	33.03s	282.40s
292	0.7198	0.2040	158848	19.77 hr	249.59s	28.75s	278.35s
294	0.7196	0.2039	159936	19.91 hr	239.48s	31.71s	271.22s
296	0.7198	0.2067	161024	20.05 hr	238.32s	40.01s	278.36s
297	0.7198	0.2032	161568	20.15 hr	241.44s	88.70s	330.17s
298	0.7197	0.2068	162112	20.24 hr	247.94s	94.10s	342.06s
299	0.7197	0.2061	162656	20.31 hr	223.93s	35.12s	259.09s
